bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,ER110044OM,OM,CLOSED,6/28/16,10/31/16,GP,ROM-00109-16,ASBESTOS REMOVAL,98000,96800,8/10/15
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,FW110017X,X,CLOSED,11/17/17,11/20/17,GR,RX-00006-17,N/A,N/A,N/A,N/A
400587,41-53 HAMPTON ST ELMHURST NY,11373,2020,0,YA110006X,X,CLOSED,1/6/10,4/12/10,GR,RXX-000811-18,N/A,N/A,N/A,N/A
420007,42-25 HAMPTON ST ELMHURST NY,11373,2020,0,FS110017OM,OM,CLOSED,7/14/17,11/3/17,GP,ROM-00092-17,NEW ROOF,82000,82000,5/16/16
420007,42-25 HAMPTON ST ELMHURST NY,11373,2020,0,FS110017OM,OM,CLOSED,7/14/17,11/3/17,GP,ROM-00092-17,POINTING,13650,13650,5/16/16
420007,42-25 HAMPTON ST ELMHURST NY,11373,2020,0,FS110017OM,OM,CLOSED,7/14/17,11/3/17,GP,ROM-00092-17,WATER MAIN,21250,0,8/25/16
420007,42-25 HAMPTON ST ELMHURST NY,11373,2020,0,FS110017OM,OM,CLOSED,7/14/17,11/3/17,GP,ROM-00092-17,CAMERAS,16500,16500,4/24/17
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110065OM,OM,CLOSED,12/30/16,8/8/17,GP,ROM-00067-17,NEW ROOF,88600,88600,6/13/16
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110065OM,OM,CLOSED,12/30/16,8/8/17,GP,ROM-00067-17,POINTNG & WATERPROOF,38700,38700,11/13/14
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110065OM,OM,CLOSED,12/30/16,8/8/17,GP,ROM-00067-17,ELEVATOR UPGRADING,89000,87848.1,7/25/16
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110065OM,OM,CLOSED,12/30/16,8/8/17,GP,ROM-00067-17,ENTRANCE DOORS,19570,19570,11/5/15
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110065OM,OM,CLOSED,12/30/16,8/8/17,GP,ROM-00067-17,TV/SECURITY SYSTEM,17500,17500,11/19/15
407631,42-37 HAMPTON ST ELMHURST NY,11373,2020,0,EX110066OM,OM,CLOSED,12/30/16,2/2/17,VO,MYN,N/A,N/A,N/A,N/A
409576,63-53 HARING ST FLUSHING NY,11374,2020,0,FW130023OM,OM,CLOSED,11/7/17,4/24/18,GP,ROM-00035-18,ELEVATOR UPGRADING,134499,132760,1/3/17
409576,63-53 HARING ST FLUSHING NY,11374,2020,0,FW130023OM,OM,CLOSED,11/7/17,4/24/18,GP,ROM-00035-18,ELEVATOR REWIRING,1750.17,0,2/3/17
409576,63-53 HARING ST FLUSHING NY,11374,2020,0,FW130023OM,OM,CLOSED,11/7/17,4/24/18,GP,ROM-00035-18,ELV. MOTOR ROOM DOOR,1742,1600,2/17/17
409576,63-53 HARING ST FLUSHING NY,11374,2020,0,FW130023OM,OM,CLOSED,11/7/17,4/24/18,GP,ROM-00035-18,ELEVATOR AC ROOM,1068,0,3/8/17
402335,1727 HARMAN ST RIDGEWOOD NY,11385,2020,0,GM110045OM,OM,CLOSED,1/26/18,5/14/18,GR,R99,FRONT DOOR,3600,3600,8/1/17
402335,1727 HARMAN ST RIDGEWOOD NY,11385,2020,0,HO110004OM,OM,CLOSED,3/6/19,12/27/19,GP,ROM-00057-19,WATERPROOFING,30780,15280,12/17/18
402335,1727 HARMAN ST RIDGEWOOD NY,11385,2020,0,HN110098OM,OM,CLOSED,2/6/19,12/26/19,GP,ROM-00057-19,ELECTRICAL REWIRE,31850,31810,2/22/18
402335,1727 HARMAN ST RIDGEWOOD NY,11385,2020,0,HN110098OM,OM,CLOSED,2/6/19,12/26/19,GP,ROM-00057-19,OIL TANK REPLACED,6900,6798,12/3/18
408147,2203 HARMAN ST RIDGEWOOD NY,11385,2020,0,GQ110068OM,OM,CLOSED,5/30/18,12/6/18,GP,ROM-00102-18,POINTNG & WATERPROOF,189500,185470.25,3/18/16
408147,2203 HARMAN ST RIDGEWOOD NY,11385,2020,0,GQ110068OM,OM,CLOSED,5/30/18,12/6/18,GP,ROM-00102-18,SIDEWALK REPLACEMENT,44370,0,9/30/17
408147,2203 HARMAN ST RIDGEWOOD NY,11385,2020,0,GQ110068OM,OM,CLOSED,5/30/18,12/6/18,GP,ROM-00102-18,BSMT WINDOWS REPLACE,4872.7,0,9/27/16
